id,name,country,primary_subfield,total_publications,Artificial Intelligence,Computational Theory and Mathematics,Computer Graphics and Computer-Aided Design,Computer Networks and Communications,Computer Science Applications,Computer Vision and Pattern Recognition,Hardware and Architecture,Human-Computer Interaction,Information Systems,Signal Processing,Software
A5074990514,Vanesa Gallego-Lema,BR,Information Systems,1,0,0,0,0,0,0,0,0,1,0,0
A5063696735,Juan Cristóbal,ES,Information Systems,1,0,0,0,0,0,0,0,0,1,0,0
A5027018582,Higinio F. Arribas-Cubero,ES,Information Systems,1,0,0,0,0,0,0,0,0,1,0,0
A5031437320,Bartolomé Rubia Avi,ES,Information Systems,1,0,0,0,0,0,0,0,0,1,0,0
A5110408865,Rebeka G. Oliveira,BR,Information Systems,1,0,0,0,0,0,0,0,0,1,0,0
A5021140739,Meiriele Tavares Araújo,BR,Information Systems,1,0,0,0,0,0,0,0,0,1,0,0
A5041619928,Claudia Ferreira de Queiroz,,Information Systems,1,0,0,0,0,0,0,0,0,1,0,0
A5022590275,Angelina Vidal Baia Henriques,BR,Information Systems,1,0,0,0,0,0,0,0,0,1,0,0
A5076678420,Mateus de Oliveira Barragana,BR,Signal Processing,1,0,0,0,0,0,0,0,0,0,1,0
A5002604561,Lande Silva,BR,Computational Theory and Mathematics,1,0,1,0,0,0,0,0,0,0,0,0
A5077223536,Jorge Gomes,BR,Computational Theory and Mathematics,2,0,2,0,0,0,0,0,0,0,0,0
A5021132557,Pedro E. A. da Silva,BR,Computational Theory and Mathematics,1,0,1,0,0,0,0,0,0,0,0,0
A5053918079,Claudinei Taborda da Silveira,BR,Artificial Intelligence,1,1,0,0,0,0,0,0,0,0,0,0
A5010429982,Nicolás Díaz,UY,Artificial Intelligence,1,1,0,0,0,0,0,0,0,0,0,0
A5023131453,Luciana B. Maroun,BR,Information Systems,1,0,0,0,0,0,0,0,0,1,0,0
A5076772779,Ana Paula C. Silva,BR,Information Systems,1,0,0,0,0,0,0,0,0,1,0,0
A5022439820,Chaulio R. Ferreira,BR,Signal Processing,1,0,0,0,0,0,0,0,0,0,1,0
A5072901364,Viviane Cristina Oliveira Aureliano,BR,Computer Science Applications,2,0,0,0,0,2,0,0,0,0,0,0
A5082748768,Michael E. Caspersen,DK,Computer Science Applications,1,0,0,0,0,1,0,0,0,0,0,0
A5045350730,Konstantin Holl,DE,Information Systems,4,0,0,0,0,0,1,0,0,3,0,0
A5061828470,Claudia Nass,DE,Information Systems,1,0,0,0,0,0,0,0,0,1,0,0
A5100978612,Ruens Moreira,BR,Information Systems,1,0,0,0,0,0,0,0,0,1,0,0
