author_id,author_name,movement_type,prev_year,prev_countries,prev_publication_id,curr_year,curr_countries,curr_publication_id
A5002385197,Antônio Oliveira-Jr,Foreign to Brazilian,2022,PT,W4312854485,2022,"BR, PT",W4283323173
A5002385197,Antônio Oliveira-Jr,Brazilian to Foreign,2022,BR,W4309050063,2022,PT,W4312628914
A5002385197,Antônio Oliveira-Jr,Foreign to Brazilian,2023,PT,W4391622694,2024,BR,W4399626181
A5076640892,Antônio A. F. Loureiro,Brazilian to Foreign,2016,BR,W3007710886,2016,CA,W2517536578
A5076640892,Antônio A. F. Loureiro,Foreign to Brazilian,2016,CA,W2517536578,2016,BR,W2341402926
A5051725468,Magnos Martinello,Brazilian to Foreign,2018,BR,W2901012544,2018,GB,W2886392136
A5051725468,Magnos Martinello,Foreign to Brazilian,2018,GB,W2886392136,2018,BR,W2885162947
A5051725468,Magnos Martinello,Brazilian to Foreign,2023,BR,W4384158091,2023,NZ,W4382864683
A5051725468,Magnos Martinello,Foreign to Brazilian,2023,NZ,W4382864683,2024,BR,W4401503768
A5044305127,Alberto Raposo,Brazilian to Foreign,2016,BR,W2547024479,2017,MX,W2768858099
A5044305127,Alberto Raposo,Foreign to Brazilian,2017,MX,W2768858099,2017,BR,W2763844585
A5014320176,Adelson de Araujo,Brazilian to Foreign,2020,BR,W3097263441,2021,NL,W3191852751
A5028395885,Daniel Rough,Foreign to Brazilian,2021,GB,W3120881549,2024,BR,W4400396810
A5060903936,Igor Wiese,Brazilian to Foreign,2018,BR,W2888176143,2018,PL,W2897657385
A5060903936,Igor Wiese,Foreign to Brazilian,2018,PL,W2897657385,2018,BR,W2899117127
A5060903936,Igor Wiese,Brazilian to Foreign,2020,BR,W3088328326,2020,US,W3014164501
A5060903936,Igor Wiese,Foreign to Brazilian,2020,US,W3014164501,2020,BR,W3107708718
A5024645888,Rafael Prikladnicki,Brazilian to Foreign,2019,BR,W4288363128,2019,SE,W2915378823
A5024645888,Rafael Prikladnicki,Foreign to Brazilian,2019,SE,W2915378823,2020,BR,W3026059462
A5014835103,Ronaldo Ferreira de Araújo,Brazilian to Foreign,2021,BR,W4386887494,2021,ES,W3173465504
A5014835103,Ronaldo Ferreira de Araújo,Foreign to Brazilian,2021,ES,W3173465504,2021,BR,W3118524501
A5100009829,Tomé Fernandes Caitano,Brazilian to Foreign,2024,BR,W4400314973,2024,US,W4400676574
A5025732017,Felipe Nascimento Martins,Foreign to Brazilian,2015,NL,W2546253873,2015,BR,W2466017564
A5025732017,Felipe Nascimento Martins,Brazilian to Foreign,2015,BR,W2466017564,2024,"NL, US",W4400188355
A5069029497,Érico Leão,Brazilian to Foreign,2016,"BR, PT",W2570173246,2017,PT,W2611831558
A5069029497,Érico Leão,Foreign to Brazilian,2017,PT,W2611831558,2017,"BR, PT",W2583078926
A5073365814,Solange Oliveira Rezende,Brazilian to Foreign,2018,BR,W2916315203,2018,ES,W2902581563
A5073365814,Solange Oliveira Rezende,Foreign to Brazilian,2018,ES,W2902581563,2018,BR,W2896961591
A5012632345,Fernando Koch,Brazilian to Foreign,2015,BR,W2004733468,2019,US,W2981723893
A5012632345,Fernando Koch,Foreign to Brazilian,2023,US,W4321488568,2024,BR,W4396849846
A5079933260,Carlo Kleber da Silva Rodrigues,Brazilian to Foreign,2015,BR,W2285278144,2015,EC,W2273970123
A5079933260,Carlo Kleber da Silva Rodrigues,Foreign to Brazilian,2015,EC,W2273970123,2016,BR,W2460338866
A5046323650,Ana Clara Cândido,Brazilian to Foreign,2018,BR,W2772047330,2018,PT,W2798128273
A5046323650,Ana Clara Cândido,Foreign to Brazilian,2018,PT,W2798128273,2018,BR,W2933155219
A5046323650,Ana Clara Cândido,Brazilian to Foreign,2018,BR,W3100403735,2018,PT,W2898622554
A5046323650,Ana Clara Cândido,Foreign to Brazilian,2018,PT,W2898622554,2019,BR,W2958505233
A5011542917,Ana de Almeida,Brazilian to Foreign,2015,BR,W2998575678,2023,PT,W4386815330
A5039179485,Keiko V. O. Fonseca,Brazilian to Foreign,2015,BR,W838299153,2018,CH,W2910880444
A5039179485,Keiko V. O. Fonseca,Foreign to Brazilian,2018,CH,W2910880444,2018,BR,W2898674268
A5063510452,Augusto Ferreira Umpiérrez,Brazilian to Foreign,2020,BR,W4390627279,2024,UY,W4401701455
A5025220360,Paula Catarino,Foreign to Brazilian,2020,PT,W3025800586,2022,"BR, PT",W4296423777
A5025220360,Paula Catarino,Brazilian to Foreign,2022,"BR, PT",W4296423777,2022,PT,W4307948214
A5010568357,Fabricio de Lima Weber,Foreign to Brazilian,2023,US,W4392460362,2024,BR,W4401977602
A5070505291,Anderson C. A. Nascimento,Brazilian to Foreign,2015,BR,W2181196462,2015,US,W2296539003
A5070505291,Anderson C. A. Nascimento,Foreign to Brazilian,2015,US,W2296539003,2015,BR,W1516862653
A5070505291,Anderson C. A. Nascimento,Brazilian to Foreign,2015,BR,W1516862653,2015,US,W2173066479
A5070505291,Anderson C. A. Nascimento,Foreign to Brazilian,2015,US,W2173066479,2016,"BR, US",W2548932170
A5070505291,Anderson C. A. Nascimento,Brazilian to Foreign,2016,"BR, US",W2548932170,2017,US,W2568831780
A5070505291,Anderson C. A. Nascimento,Foreign to Brazilian,2017,US,W2568831780,2019,BR,W3012417536
A5070505291,Anderson C. A. Nascimento,Brazilian to Foreign,2019,BR,W3012417536,2019,US,W2973371686
A5061181768,Ig Ibert Bittencourt,Brazilian to Foreign,2019,BR,W2990531070,2020,US,W3108277644
A5061181768,Ig Ibert Bittencourt,Foreign to Brazilian,2020,US,W3108277644,2020,BR,W3109397555
A5061181768,Ig Ibert Bittencourt,Brazilian to Foreign,2023,BR,W4392608968,2023,US,W4391139162
A5061181768,Ig Ibert Bittencourt,Foreign to Brazilian,2023,US,W4384025872,2023,BR,W4385516365
A5061181768,Ig Ibert Bittencourt,Brazilian to Foreign,2024,BR,W4403177612,2024,US,W4393551670
A5061181768,Ig Ibert Bittencourt,Foreign to Brazilian,2024,US,W4393551670,2024,BR,W4400275486
A5020633136,Raquel Gómez Bravo,Brazilian to Foreign,2023,BR,W4379740790,2024,LU,W4401952608
A5057504672,Felipe Kenji Nakano,Brazilian to Foreign,2018,BR,W2801811995,2020,BE,W3042816745
A5041696034,Jonysberg P. Quintino,Brazilian to Foreign,2019,BR,W2954331385,2020,US,W3115847310
A5041696034,Jonysberg P. Quintino,Foreign to Brazilian,2020,US,W3115847310,2020,BR,W3011189904
A5068277015,Lucia Mesquita,Foreign to Brazilian,2024,"IE, PT",W4403318989,2024,"BR, IE, PT",W4402461020
A5061851539,Francisco A. Rodrigues,Brazilian to Foreign,2015,BR,W1828311434,2015,ES,W1847722306
A5061851539,Francisco A. Rodrigues,Foreign to Brazilian,2015,ES,W1847722306,2016,BR,W2343043627
A5044506720,André Hora,Brazilian to Foreign,2015,BR,W2164626827,2015,FR,W1965636200
A5044506720,André Hora,Foreign to Brazilian,2015,FR,W1965636200,2016,BR,W2561792692
A5058517041,Marco Chiesa,Foreign to Brazilian,2018,SE,W4254015241,2018,"BR, SE",W2886454774
A5058517041,Marco Chiesa,Brazilian to Foreign,2018,"BR, SE",W2886454774,2018,SE,W4247608663
A5009017026,Roberto Rodrigues Filho,Foreign to Brazilian,2018,GB,W2921180060,2022,BR,W4288422167
A5016387542,João Ricardo Nickenig Vissoci,Foreign to Brazilian,2021,US,W4200295041,2021,"BR, US",W3152563825
A5016387542,João Ricardo Nickenig Vissoci,Brazilian to Foreign,2021,"BR, US",W3152563825,2023,US,W4367662634
A5016160620,Eduardo Alchieri,Brazilian to Foreign,2023,BR,W4381488371,2023,ID,W4382200016
A5016160620,Eduardo Alchieri,Foreign to Brazilian,2023,ID,W4382200016,2023,BR,W4388989676
A5079851488,Marta Mata,Brazilian to Foreign,2018,BR,W2900338452,2019,MN,W3006222653
A5079851488,Marta Mata,Foreign to Brazilian,2019,MN,W3006222653,2020,BR,W3111316619
A5022483402,Mylène C. Q. Farias,Brazilian to Foreign,2023,"BR, US",W4389474491,2023,US,W4379046487
A5022483402,Mylène C. Q. Farias,Foreign to Brazilian,2023,US,W4379046487,2024,"BR, US",W4399428104
A5022483402,Mylène C. Q. Farias,Brazilian to Foreign,2024,"BR, US",W4399428104,2024,US,W4400878335
A5007792821,Alessandro Garcia,Brazilian to Foreign,2015,BR,W2143119899,2015,AR,W2290314319
A5007792821,Alessandro Garcia,Foreign to Brazilian,2015,AR,W2290314319,2015,BR,W2343396275
A5049724662,Carla Bezerra,Brazilian to Foreign,2017,BR,W2735139875,2017,US,W2972064959
A5049724662,Carla Bezerra,Foreign to Brazilian,2017,US,W2972064959,2018,BR,W2782747657
A5001304689,Guillermo Antonio Dávila,Brazilian to Foreign,2019,BR,W2978765128,2023,PE,W4385247791
A5081718940,Artur Castiel Reis de Souza,Brazilian to Foreign,2022,BR,W4220659704,2024,NL,W4399420525
A5061379914,Edvaldo Souza Couto,Foreign to Brazilian,2018,AR,W2796068519,2019,BR,W2953840325
A5064402075,Ana da Costa Polonia,Brazilian to Foreign,2022,BR,W4221069364,2023,"FR, US",W4389191392
